road_name,road_id,road_name1,START_LONGITUDE,START_LATITUDE,END_LONGITUDE,END_LATITUDE
湖滨南路（东向西）,R998,湖滨南路（东向西）,118.1065339,24.4769779,118.106072,24.4768514
湖滨南路（东向西）,R999,湖滨南路（东向西）,118.106072,24.4768514,118.106072,24.4768514
湖滨南路（东向西）,R999,湖滨南路（东向西）,118.106072,24.4768514,118.1039449,24.4762611
湖滨南路（东向西）,R1000,湖滨南路（东向西）,118.1039449,24.4762611,118.1006776,24.4754046
湖滨南路（东向西）,R1000,湖滨南路（东向西）,118.1006776,24.4754046,118.0979086,24.4746223
湖滨南路（东向西）,R1001,湖滨南路（东向西）,118.0979086,24.4746223,118.0964297,24.4742122
湖滨南路（东向西）,R1001,湖滨南路（东向西）,118.0964297,24.4742122,118.0958572,24.4740736
湖滨南路（东向西）,R1002,湖滨南路（东向西）,118.0958572,24.4740736,118.0957159,24.4740442
湖滨南路（东向西）,R1003,湖滨南路（东向西）,118.0957159,24.4740442,118.095213,24.4739153
湖滨南路（东向西）,R1004,湖滨南路（东向西）,118.095213,24.4739153,118.09465,24.4737364
湖滨南路（东向西）,R1005,湖滨南路（东向西）,118.0923477,24.4730554,118.0920945,24.4730309
湖滨南路（东向西）,R1006,湖滨南路（东向西）,118.0920945,24.4730309,118.0871129,24.4716788
湖滨南路（东向西）,R1006,湖滨南路（东向西）,118.0871129,24.4716788,118.0863638,24.4714705
湖滨南路（东向西）,R1007,湖滨南路（东向西）,118.0863638,24.4714705,118.0862205,24.4714236
湖滨南路（东向西）,R1008,湖滨南路（东向西）,118.0862205,24.4714236,118.0858934,24.4713623
湖滨南路（东向西）,R1009,湖滨南路（东向西）,118.0858934,24.4713623,118.0838108,24.470791
湖滨南路（东向西）,R1010,湖滨南路（东向西）,118.0838108,24.470791,118.0818981,24.4702523
湖滨南路（东向西）,R1011,湖滨南路（东向西）,118.0817626,24.4702227,118.080044,24.4697557
湖滨南路（东向西）,R1012,湖滨南路（东向西）,118.080044,24.4697557,118.0783388,24.4692966
湖滨南路（东向西）,R1013,湖滨南路（东向西）,118.0773239,24.4690151,118.076555,24.4688019
湖滨南路（东向西）,R1014,湖滨南路（东向西）,118.076555,24.4688019,118.0757804,24.4685927
湖滨南路（东向西）,R1014,湖滨南路（东向西）,118.0757804,24.4685927,118.0752033,24.4684369
湖滨南路（东向西）,R1015,湖滨南路（东向西）,118.0752033,24.4684369,118.0743628,24.4682482
湖滨南路（东向西）,R1015,湖滨南路（东向西）,118.0743628,24.4682482,118.0740279,24.4681838
湖滨南路（东向西）,R1016,湖滨南路（东向西）,118.0740279,24.4681838,118.0739197,24.468163
湖滨南路（东向西）,R1016,湖滨南路（东向西）,118.0739197,24.468163,118.073705,24.4680681
湖滨南路（东向西）,R1250,湖滨南路（东向西）,118.073705,24.4680681,118.115248,24.4795019
湖滨南路（东向西）,R1250,湖滨南路（东向西）,118.115248,24.4795019,118.1148364,24.4792331
湖滨南路（东向西）,R1251,湖滨南路（东向西）,118.1148364,24.4792331,118.1138111,24.4789472
湖滨南路（东向西）,R1252,湖滨南路（东向西）,118.113324,24.4788263,118.1130641,24.4787636
湖滨南路（东向西）,R1253,湖滨南路（东向西）,118.1130641,24.4787636,118.1104058,24.4779995
湖滨南路（东向西）,R1254,湖滨南路（东向西）,118.1099633,24.4778631,118.1071641,24.4771257
湖滨南路（东向西）,R1255,湖滨南路（东向西）,118.1071641,24.4771257,118.1067108,24.4770063
湖滨南路（东向西）,R3457,湖滨南路（东向西）,118.0858934,24.4713623,118.0857195,24.4713477
湖滨南路（东向西）,R3458,湖滨南路（东向西）,118.08381,24.4709009,118.0828285,24.470628
湖滨南路（东向西）,R3459,湖滨南路（东向西）,118.0817081,24.4703164,118.0800164,24.469846
湖滨南路（东向西）,R3460,湖滨南路（东向西）,118.0800164,24.469846,118.0748849,24.4684637
湖滨南路（东向西）,R3463,湖滨南路（东向西）,118.106072,24.4768514,118.1056911,24.476819
湖滨南路（东向西）,R3464,湖滨南路（东向西）,118.1006589,24.4754654,118.097884,24.4746978
湖滨南路（东向西）,R3469,湖滨南路（东向西）,118.1148364,24.4792331,118.1145954,24.4791828
湖滨南路（东向西）,R3470,湖滨南路（东向西）,118.113244,24.4788687,118.113071,24.4788225
湖滨南路（东向西）,R3471,湖滨南路（东向西）,118.113071,24.4788225,118.1103825,24.478072
湖滨南路（东向西）,R3472,湖滨南路（东向西）,118.1099341,24.4779496,118.1074835,24.4772856
湖滨南路（东向西）,R3473,湖滨南路（东向西）,118.095213,24.4739153,118.0946096,24.4738062
湖滨南路（西向东）,R820,湖滨南路（西向东）,118.0737129,24.4679239,118.073831,24.4679577
湖滨南路（西向东）,R821,湖滨南路（西向东）,118.073831,24.4679577,118.0739252,24.4679846
湖滨南路（西向东）,R822,湖滨南路（西向东）,118.0739252,24.4679846,118.0740152,24.4680168
湖滨南路（西向东）,R823,湖滨南路（西向东）,118.0741438,24.4680628,118.0744048,24.4681561
湖滨南路（西向东）,R824,湖滨南路（西向东）,118.0744048,24.4681561,118.0757967,24.4685173
湖滨南路（西向东）,R825,湖滨南路（西向东）,118.0757967,24.4685173,118.0773686,24.4689486
湖滨南路（西向东）,R826,湖滨南路（西向东）,118.0773686,24.4689486,118.078778,24.4693381
湖滨南路（西向东）,R828,湖滨南路（西向东）,118.0818069,24.4701602,118.0838175,24.4707183
湖滨南路（西向东）,R829,湖滨南路（西向东）,118.0838175,24.4707183,118.0859958,24.4712685
湖滨南路（西向东）,R830,湖滨南路（西向东）,118.0859958,24.4712685,118.0862026,24.4713454
湖滨南路（西向东）,R831,湖滨南路（西向东）,118.0862026,24.4713454,118.0868759,24.4714856
湖滨南路（西向东）,R832,湖滨南路（西向东）,118.0868759,24.4714856,118.0878871,24.4717777
湖滨南路（西向东）,R833,湖滨南路（西向东）,118.0878871,24.4717777,118.0894818,24.4722382
湖滨南路（西向东）,R834,湖滨南路（西向东）,118.0923477,24.4730554,118.092763,24.4731235
湖滨南路（西向东）,R835,湖滨南路（西向东）,118.0951194,24.4737405,118.0957988,24.4739348
湖滨南路（西向东）,R836,湖滨南路（西向东）,118.0957988,24.4739348,118.0959638,24.4739778
湖滨南路（西向东）,R837,湖滨南路（西向东）,118.0959638,24.4739778,118.0964231,24.4741065
湖滨南路（西向东）,R838,湖滨南路（西向东）,118.0964231,24.4741065,118.099127,24.4748644
湖滨南路（西向东）,R839,湖滨南路（西向东）,118.100713,24.4752888,118.1030186,24.4759115
湖滨南路（西向东）,R840,湖滨南路（西向东）,118.1060585,24.4767382,118.1065888,24.4768879
湖滨南路（西向东）,R895,湖滨南路（西向东）,118.1153171,24.4790735,118.1150448,24.4790715
湖滨南路（西向东）,R896,湖滨南路（西向东）,118.1143852,24.4789301,118.1138705,24.4788561
湖滨南路（西向东）,R897,湖滨南路（西向东）,118.1099845,24.4777827,118.1074004,24.477087
湖滨南路（西向东）,R898,湖滨南路（西向东）,118.1074004,24.477087,118.1067492,24.4769386
湖滨南路（西向东）,R899,湖滨南路（西向东）,118.1067492,24.4769386,118.1065888,24.4768879
湖滨南路（西向东）,R3435,湖滨南路（西向东）,118.0744048,24.4681561,118.0750666,24.4682101
湖滨南路（西向东）,R3436,湖滨南路（西向东）,118.0758211,24.4684143,118.0773928,24.4688697
湖滨南路（西向东）,R3437,湖滨南路（西向东）,118.0773928,24.4688697,118.0785803,24.4691877
湖滨南路（西向东）,R3438,湖滨南路（西向东）,118.0801045,24.4695958,118.0818345,24.4700894
湖滨南路（西向东）,R3439,湖滨南路（西向东）,118.0818345,24.4700894,118.0830477,24.4704111
湖滨南路（西向东）,R3440,湖滨南路（西向东）,118.0838335,24.4706566,118.085704,24.4711386
湖滨南路（西向东）,R3461,湖滨南路（西向东）,118.0964231,24.4741065,118.0970843,24.474203
湖滨南路（西向东）,R3462,湖滨南路（西向东）,118.1007303,24.4752321,118.1023803,24.475649
湖滨南路（西向东）,R3465,湖滨南路（西向东）,118.1074004,24.477087,118.1080366,24.4771864
湖滨南路（西向东）,R3466,湖滨南路（西向东）,118.1100107,24.4777277,118.1104566,24.4778431
湖滨南路（西向东）,R3467,湖滨南路（西向东）,118.0868759,24.4714856,118.0873309,24.4715465
湖滨南路（西向东）,R3468,湖滨南路（西向东）,118.0879157,24.471711,118.0886631,24.4719213
