LATITUDE,LONGITUDE,count,id
24.53344756,118.147063,11382,
24.53238253,118.1360579,8262,
24.51373167,118.1183593,7624,
24.46670259,118.0812188,7140,
24.53083527,118.154048,5892,
24.50132031,118.1216952,5879,
24.47138171,118.1036992,5428,
24.46355415,118.0760342,5365,
24.47474462,118.1094495,5335,
24.48300761,118.1814261,5327,
24.4866646,118.1687218,5271,
24.51499388,118.1557183,5252,
24.46942329,118.0988742,5224,
24.52478574,118.1491269,4985,
24.47313384,118.1684875,4971,
24.48388764,118.1742401,4966,
24.45994003,118.0694948,4938,
24.49817602,118.1488574,4927,
24.52844858,118.1009699,4916,
24.52144981,118.1138046,4898,
24.48914451,118.1096235,4891,
24.47047237,118.0861685,4849,
24.47756892,118.1042197,4750,
24.48343305,118.0894807,4666,
24.49454907,118.1418648,4665,
24.51411181,118.1475319,4637,
24.49575522,118.1276748,4438,
24.52093962,118.0936025,4431,
24.46587437,118.0879131,4346,
24.47877578,118.1145808,4308,
24.53657273,118.1599924,4252,
24.49210666,118.1165983,4090,
24.49239444,118.1227806,4059,
24.47561793,118.097683,4057,
24.49497693,118.1094288,3968,
24.50113805,118.1282461,3822,
24.49790816,118.1143588,3784,
24.48285951,118.1080437,3775,
24.48657285,118.1177258,3765,
24.46915994,118.1746521,3752,
24.4796779,118.0776369,3747,
24.46808465,118.0725043,3736,
24.47872597,118.1631333,3725,
24.48789753,118.1593271,3724,
24.49410992,118.1349744,3693,
24.49107996,118.1485792,3674,
24.49652035,118.1215781,3653,
24.50916106,118.1715883,3598,
24.53051223,118.1262693,3521,
24.51244995,118.1079574,3469,
24.48300737,118.1133015,3362,
24.47996005,118.1558859,3337,
24.48912274,118.1548021,3323,
24.49942474,118.1365064,3258,
24.47188367,118.0914356,3246,
24.4796893,118.1700603,3242,
24.47298649,118.1154175,3191,
24.50676923,118.1243381,3117,
24.54559496,118.1130057,3096,
24.50513619,118.1536783,3075,
24.48741418,118.0972231,2998,
24.48498457,118.1027315,2978,
24.49071082,118.0922095,2813,
24.49356078,118.1707209,2756,
24.45671632,118.0798063,2715,
24.46926559,118.093826,2696,
24.50937655,118.1837175,2611,
24.51329835,118.1385408,2567,
24.4599637,118.0869218,2516,
24.52589423,118.1768901,2515,
24.48838678,118.1819509,2459,
24.50434561,118.14328,2450,
24.5227722,118.1410592,2364,
24.47567734,118.121481,2349,
24.49283714,118.1014559,2305,
24.48050182,118.1479214,2206,
24.51082491,118.095187,2195,
24.46363507,118.0956709,2000,
24.48728522,118.0742535,1991,
24.48833456,118.1765221,1913,
24.48829249,118.133389,1879,
24.50985314,118.088297,1865,
24.5086834,118.131553,1839,
24.47563263,118.1767694,1815,
24.4796864,118.1868246,1748,
24.49388951,118.163948,1682,
24.47962637,118.1386128,1665,
24.51977428,118.1316861,1650,
24.47895347,118.0901674,1589,
24.48968085,118.1260807,1585,
24.48777775,118.1897809,1480,
24.48645606,118.1384815,1479,
24.47495947,118.1823041,1478,
24.49792223,118.0824238,1366,
24.4667478,118.1641916,1159,
24.46335983,118.1064864,1046,
24.5447347,118.1457819,997,
24.47891444,118.1282677,919,
24.50231735,118.1861221,834,
24.49645272,118.1887326,677,
