road_id,road_name1,START_LONGITUDE,START_LATITUDE,END_LONGITUDE,END_LATITUDE
R886,厦禾路（东向西）,118.1147855,24.4764326,118.11508810000001,24.4777827
R1326,厦禾路（东向西）,118.0990504,24.4688326,118.09899109999998,24.4688147
R1327,厦禾路（东向西）,118.09899109999998,24.4688147,118.09872959999998,24.4687355
R1328,厦禾路（东向西）,118.09872959999998,24.4687355,118.0966236,24.4682011
R1329,厦禾路（东向西）,118.0913429,24.466836999999998,118.0900217,24.466473
R1330,厦禾路（东向西）,118.0881361,24.4659653,118.0880564,24.465939600000002
R1331,厦禾路（东向西）,118.0880564,24.465939600000002,118.08550829999999,24.4652915
R1332,厦禾路（东向西）,118.08550829999999,24.4652915,118.08358170000001,24.4648094
R1333,厦禾路（东向西）,118.08334140000001,24.4647607,118.0817871,24.464393899999997
R1334,厦禾路（东向西）,118.0817871,24.464393899999997,118.0789743,24.463786199999998
R1335,厦禾路（东向西）,118.0789743,24.463786199999998,118.0772094,24.4633982
R1336,厦禾路（东向西）,118.0772094,24.4633982,118.07576770000001,24.4631079
R1337,厦禾路（东向西）,118.07473470000001,24.462884699999996,118.07446499999999,24.4628564
R1338,厦禾路（东向西）,118.07446499999999,24.4628564,118.07352140000002,24.462621399999996
R1339,厦禾路（东向西）,118.0684696,24.463280899999997,118.0683028,24.4633357
R1340,厦禾路（东向西）,118.0683028,24.4633357,118.06742379999999,24.463604
R1837,厦禾路（东向西）,118.0990504,24.4688326,118.0997098,24.4689829
R1838,厦禾路（东向西）,118.0997098,24.4689829,118.1008168,24.4692567
R1839,厦禾路（东向西）,118.10249109999998,24.469670899999997,118.1028415,24.4697629
R1840,厦禾路（东向西）,118.103626,24.4699531,118.1058277,24.470486800000003
R1841,厦禾路（东向西）,118.10962830000001,24.4718207,118.1097879,24.471926800000002
R1842,厦禾路（东向西）,118.1097879,24.471926800000002,118.11038549999999,24.4722169
R1843,厦禾路（东向西）,118.11211540000001,24.47348,118.1130764,24.474269699999997
