LATITUDE,LONGITUDE
24.51174398,118.14053657
24.4647191,118.08235545
24.48463178,118.12103306
24.46672694,118.07134303
24.47088887,118.11654908
24.4941343,118.13599011
24.49309524,118.10092635
24.52050732,118.13238797
24.47855146,118.15539366
24.49771296,118.11360286
24.45688975,118.07110814
24.48800454,118.16183566
24.51115545,118.13466725
22.79924995,124.03555319
24.51128228,118.17574939
24.50007825,118.13494394
24.52243537,117.92195837
24.47252289,118.0889399,
24.47410209,118.10341377
24.48333686,118.1037522,
24.4876785,118.0972422,
24.49814334,118.14620451
24.47928225,118.11349039
24.46484701,118.08765346
24.50628972,118.15432326
24.50668673,118.1704579,
24.46645124,118.07661531
24.5858264,118.09864089
24.49691133,118.12814942
24.4792253,118.14636851
24.50259739,118.14955457
24.47570983,118.1617734,
24.46143604,118.09156832
24.47076123,118.10855235
24.48877053,118.15080669
24.52941221,118.09512623
24.4793487,118.10487039
24.51384277,118.15036174
24.43412432,118.10051988
24.48252835,118.14941331
24.45641051,118.07757198
24.49848115,118.13574782
24.47792189,118.18469592
24.51855638,118.11362572
24.51452497,118.12162738
24.4823337,118.15554513
24.48054714,118.1614284,
24.54774513,118.10533461
24.46275675,118.07863953
24.47423705,118.11771198
24.51066042,118.11487908
24.48871965,118.15233545
24.44791976,118.15291305
24.4997827,118.14270225
24.50174278,118.15474831
24.46998361,118.1247166,
24.47871839,118.14093002
24.50849673,118.11675482
24.49407565,118.12417354
24.51928469,118.15607832
24.51516513,118.14555073
24.48732439,118.1699126,
24.49596221,118.13353859
24.53012449,118.12651401
24.47072117,118.10510019
24.44061177,118.08789573
24.49427653,118.14169061
24.48564762,118.19226139
24.54076543,118.16189316
24.44534835,118.08280192
24.51301188,118.15436696
24.49683637,118.11109366
24.50709998,118.18340225
25.367055,,102.7064815,
24.54239488,118.1481418,
24.47641321,118.09460394
24.52928076,118.10315537
24.47432927,118.10878424
24.54134011,118.15632759
24.4814825,118.11457433
24.48671923,118.15770766
24.49950484,118.11665827
24.5121969,118.16511587
24.47914161,118.08211276
24.55802042,118.13746983
23.5521645,120.39733567
24.55246187,118.1201309,
